ID,CONS_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,聚类类别
0,6623660203,0.05933333333333332,0.02333333333333333,0.03066666666666667,0.02933333333333332,0.05466666666666666,0.03533333333333333,0.027999999999999994,0.09866666666666665,0.1,0.102,0.08733333333333332,0.003999999999999999,0.00666666666666665,0.0013333333333333253,0.02333333333333333,0.011333333333333334,0.003333333333333313,0.0013333333333333253,0.005999999999999987,0.05933333333333332,0.004666666666666662,0.0,0.07266666666666667,0.07733333333333334,0.08933333333333333,0.07466666666666669,0.007999999999999998,0.042,0.04666666666666666,0.15666666666666668,0.011999999999999997,0.05133333333333333,0.07999999999999999,0.14200000000000002,0.2886666666666667,0.13266666666666668,0.1406666666666667,0.3073333333333333,0.7273333333333334,0.7493333333333334,0.7766666666666666,0.9426666666666667,0.5553333333333332,0.5446666666666666,0.6293333333333334,0.5706666666666668,0.5599999999999999,0.4933333333333334,0.4366666666666667,0.44866666666666666,0.2826666666666667,0.38333333333333336,0.474,0.4146666666666667,0.5546666666666666,0.4679999999999999,0.5266666666666666,0.442,0.5373333333333334,0.5366666666666666,0.5606666666666668,0.6359999999999999,0.6113333333333334,0.5840000000000001,0.5806666666666668,0.938,0.864,0.9766666666666667,0.9066666666666666,0.7993333333333332,1.0,0.9413333333333334,0.7813333333333333,0.6366666666666667,0.6186666666666667,0.5173333333333334,0.654,0.7153333333333334,0.7126666666666667,0.8113333333333334,0.7353333333333333,0.3393333333333333,0.25,0.18,0.19866666666666669,0.14266666666666664,0.13333333333333333,0.2586666666666667,0.16133333333333333,0.10333333333333333,0.09066666666666666,0.042,0.11000000000000001,0.10399999999999998,0.09799999999999999,0.05866666666666666,0
1,6623660203,0.01834862385321102,0.011997177134791814,0.009174311926605498,0.04234297812279465,0.0,0.09033168666196188,0.007057163020465779,0.0021171489061397315,0.024700070571630203,0.008468595624558926,0.12985179957657023,0.13408609738884972,0.07480592801693721,0.09527170077628795,0.028934368383909666,0.010585744530698668,0.011291460832745242,0.04587155963302752,0.02187720536344391,0.024700070571630203,0.004234297812279463,0.0021171489061397315,0.004940014114326036,0.021171489061397337,0.09527170077628795,0.0021171489061397315,0.06774876499647142,0.06069160197600565,0.13479181369089627,0.2166549047282992,0.1376146788990826,0.02681721947776995,0.02399435426958363,0.38884968242766405,0.18489767113620326,0.5130557515878618,0.14820042342978126,0.5723359209597743,0.7339449541284405,0.7988708539167256,0.5688073394495413,0.7805222300635144,0.8990825688073396,0.6033874382498237,0.49611856033874385,0.6570218772053635,0.689484827099506,0.8023994354269585,0.8567395906845449,0.8369795342272407,0.8962597035991532,0.6400846859562457,0.547635850388144,0.4544812985179958,0.4523641496118561,0.47494707127734653,0.592801693719125,0.6556104446012703,0.6118560338743825,0.46506704304869445,0.6118560338743825,0.49258997882851097,0.611150317572336,0.5582215949188427,0.6549047282992237,0.6605504587155964,0.6203246294989415,0.7925194071983063,0.8292166549047284,1.0,0.7642907551164433,0.5321100917431193,0.6189131968948482,0.639378969654199,0.5031757233592097,0.5384615384615385,0.4580098800282287,0.744530698659139,0.5638673253352152,0.42836979534227243,0.4135497529992943,0.46647847565278766,0.5786873676781933,0.41778405081157377,0.32180663373323926,0.25688073394495414,0.21030345800988004,0.17642907551164433,0.15525758645024704,0.09880028228652081,0.12773465067043047,0.22512350035285814,0.04657727593507412,0.07268877911079746,0.10938602681721948,0.08821453775582216,0
2,6623660203,0.04284525790349417,0.020382695507487524,0.024958402662229623,0.02412645590682196,0.03993344425956739,0.027870216306156406,0.02329450915141431,0.06738768718801995,0.06821963394342762,0.0694675540765391,0.0603161397670549,0.008319467554076546,0.009983361064891843,0.006655574043261233,0.020382695507487524,0.00873544093178037,0.05490848585690515,0.044925124792013306,0.004991680532445922,0.04284525790349417,0.005823627287853584,0.05366056572379368,0.05116472545757072,0.054076539101497505,0.04991680532445923,0.052412645590682205,0.0,0.06281198003327786,0.08194675540765389,0.1035773710482529,0.023710482529118133,0.03785357737104825,0.0557404326123128,0.09442595673876872,0.18594009983361065,0.08985024958402663,0.08985024958402663,0.3398502495840266,0.4596505823627287,0.47337770382695504,0.49043261231281193,0.4625623960066555,0.5324459234608985,1.0,0.3985024958402662,0.38976705490848584,0.3552412645590682,0.3136439267886855,0.28660565723793674,0.5644758735440931,0.5307820299500831,0.24500831946755408,0.32529118136439267,0.16805324459234608,0.21256239600665558,0.29783693843594006,0.22254575707154742,0.38893510815307814,0.38893510815307814,0.3631447587354409,0.19966722129783693,0.4026622296173044,0.3980865224625624,0.36730449251247915,0.36813643926788686,0.591098169717138,0.35482529118136436,0.61522462562396,0.5715474209650582,0.504575707154742,0.58153078202995,0.9550748752079866,0.843594009983361,0.3793677204658901,0.2990848585690516,0.6301996672212977,0.7158901830282861,0.44134775374376034,0.4504991680532446,0.512063227953411,0.3257071547420965,0.39933444259567386,0.22670549084858568,0.11813643926788683,0.19217970049916805,0.09484193011647252,0.08901830282861896,0.10648918469217969,0.16139767054908485,0.1638935108153078,0.08069883527454241,0.13519134775374375,0.07695507487520797,0.07071547420965056,0.06863560732113144,0.042429284525790346,0
3,6623660203,0.08961593172119489,0.1849217638691323,0.031294452347083945,0.04907539118065435,0.00426742532005691,0.017780938833570417,0.007823613086770983,0.023470839260312938,0.009957325746799433,0.01564722617354198,0.027027027027027025,0.09743954480796588,0.19274537695590327,0.0817923186344239,0.07539118065433854,0.006401137980085359,0.09957325746799431,0.11024182076813657,0.0,0.01137980085348507,0.01564722617354198,0.09743954480796588,0.027027027027027025,0.10099573257467993,0.09103840682788052,0.22190611664295873,0.12588904694167852,0.11308677098150781,0.007112375533428171,0.10384068278805121,0.18421052631578946,0.06756756756756757,0.12304409672830727,0.17496443812233284,0.5433854907539117,0.6209103840682788,0.2460881934566145,0.647226173541963,0.60099573257468,0.6379800853485064,0.7375533428165006,0.8001422475106684,0.4879089615931721,0.5035561877667141,0.4317211948790896,0.49928876244665715,0.561877667140825,0.453058321479374,0.4957325746799431,0.4125177809388335,0.3968705547652916,0.39402560455192037,0.43029871977240397,0.2930298719772404,0.3691322901849218,0.2951635846372689,0.3862019914651494,0.3186344238975818,0.3108108108108108,0.26458036984352773,0.3470839260312944,0.5483641536273115,0.686344238975818,0.6337126600284495,0.5120910384068278,0.45874822190611664,0.612375533428165,0.4601706970128022,0.6408250355618776,0.7155049786628733,1.0,0.6507823613086771,0.9743954480796586,0.821479374110953,0.9431009957325747,0.9075391180654337,0.5291607396870556,0.5611664295874822,0.5768136557610242,0.515647226173542,0.5625889046941679,0.3677098150782361,0.46088193456614507,0.3442389758179232,0.2240398293029872,0.26884779516358465,0.27880512091038406,0.2780938833570412,0.2816500711237553,0.1906116642958748,0.1436699857752489,0.1379800853485064,0.13726884779516357,0.09601706970128022,0.08534850640113799,0.08890469416785207,0
4,6623660203,0.01744910677191525,0.017864561695056083,0.04445367677606979,0.047361861238055664,0.046946406314914826,0.0,0.009970918155380145,0.0,0.0029081844619858782,0.0041545492314083955,0.01744910677191525,0.0004154549231408439,0.001661819692563361,0.0024927295388450345,0.04071458246780225,0.04528458662235148,0.045700041545492315,0.04611549646863315,0.004985459077690069,0.0,0.001661819692563361,0.0012463647694225173,0.0,0.001661819692563361,0.006647278770253422,0.0037390943082675518,0.0012463647694225173,0.06605733277939342,0.03739094308267552,0.06522642293311175,0.02492729538845035,0.027420024927295384,0.07976734524304113,0.09555463232239302,0.11715828832571663,0.09098462816784379,0.1645201495637723,0.24013294557540507,0.6651433319484835,0.6879933527212296,0.7083506439551307,0.82675529705027,0.8791026173660157,1.0,0.7793934358122142,0.8329871208973826,0.6323223930203572,0.7511425010386372,0.529289572081429,0.5650186954715413,0.6418778562525965,0.606979642708766,0.6850851682592438,0.6252596593269629,0.6385542168674698,0.4657249688408807,0.48442044038221854,0.6377233070211882,0.5670959700872455,0.6422933111757373,0.5695886996260905,0.6821769837972579,0.694640631491483,0.6813460739509762,0.6007478188616535,0.7789779808890734,0.8051516410469464,0.963855421686747,0.9160781055255504,0.9148317407561279,0.9696717906107186,0.9551308683007892,0.8437889488990443,0.7868716244287494,0.5529705027004569,0.6306605733277938,0.7162442874948067,0.8097216452014955,0.6688824262567511,0.5467386788533444,0.46863315330286665,0.40008309098462813,0.22766929788117987,0.33859576235978395,0.29954299958454506,0.15413377648525134,0.12339011217282922,0.12796011632737847,0.16950560864146236,0.16493560448691316,0.10552555047777315,0.044869131699210626,0.05691732447029496,0.03323639385126714,0.069796427087661,0.006231823847112586,0
9,6622459060,0.7336001215743883,0.7315941441669621,0.7329112000405248,0.7212603211590091,0.7793627475811761,0.7228813130033939,0.7565168937743783,0.779109467605491,0.8242338280735525,0.8004862975533154,0.6311939618053797,0.4193505901423432,0.21892507978319228,0.31732941593637604,0.47486956081252224,0.7868091788663188,0.9935059014234335,0.6296742819512688,0.7240970568866826,0.3177346638974723,0.010880907755432828,0.36038701180284693,0.41904665417152126,0.5293754115799604,0.7770730966009827,0.7566182057646522,0.7450686388734106,0.74327541664556,0.7526670381439642,0.7526670381439642,0.7526670381439642,0.8539790284180131,0.9894838154095538,0.9894838154095538,0.9894838154095538,0.8881718251355049,0.7433767286358339,0.5407527480877362,0.33812876753963833,0.13550478699154045,0.0039005116255508817,0.0039005116255508817,0.0039005116255508817,0.0039005116255508817,0.0,0.0,0.0,0.0,0.0005876095435894641,0.0005876095435894641,0.0005876095435894641,0.0005876095435894641,0.024355402461881337,0.22697938300997922,0.530915353832126,0.7335393343802238,1.0,0.6960640291778531,0.4934400486297553,0.2908160680816574,0.04053492730864695,0.04053492730864695,0.14184691758269588,0.14184691758269588,0.2843422319031457,0.48696621245124355,0.6896408489944785,0.7909021832733903,0.8494199888556809,0.646796008307583,0.44417202775948533,0.2415480472113875,0.053158401296793445,0.053158401296793445,0.053158401296793445,0.053158401296793445,0.09550681323134592,0.2981307937794438,0.5007547743275417,0.7033787548756394,0.8656501696975837,0.7643381794235348,0.6630261891494859,0.5617141988754368,0.4570994377184539,0.4570994377184539,0.4570994377184539,0.4570994377184539,0.44928828326832476,0.5506002735423737,0.7532242540904716,0.8545362443645205,0.99839927055367,0.99839927055367,0.99839927055367,0.99839927055367,1
49,6623660203,0.06157003591585427,0.013853258081067209,0.014366341713699342,0.005130836326321186,0.017444843509492037,0.003078501795792722,0.007696254489481783,0.006670087224217551,0.004104669061056954,0.02052334530528475,0.053873781426372495,0.05182144689584402,0.05438686505900461,0.008209338122113899,0.04412519240636224,0.0015392508978963565,0.003078501795792722,0.007183170856849667,0.031298101590559256,0.0,0.003078501795792722,0.004104669061056954,0.01026167265264238,0.053360697793740385,0.05182144689584402,0.05489994869163673,0.0348896870189841,0.0,0.018471010774756286,0.08260646485377117,0.07952796305797845,0.08311954848640327,0.06721395587480758,0.22780913288866084,0.16213442791174962,0.20369420215495124,0.24525397639815288,0.5397639815289891,0.6290405336069779,0.586454592098512,0.797331965110313,0.9148281169830682,0.8948178553104155,1.0,0.9379168804515136,0.8553104155977425,0.6690610569522832,0.5361723961005643,0.43919958953309385,0.23140071831708567,0.30887634684453563,0.3591585428424833,0.469984607491021,0.4114930733709594,0.33709594663930215,0.38737814263724984,0.33658286300667,0.38583889173935343,0.33966136480246273,0.37711646998460746,0.4186762442278091,0.5956900974858901,0.5413032324268855,0.44073884043099015,0.4227809132888661,0.5413032324268855,0.6233966136480245,0.7819394561313494,0.8286300667008721,0.7624422780913289,0.6598255515649051,0.5572088250384811,0.6649563878912264,0.4997434581836839,0.4489481785531041,0.37198563365828624,0.42226782965623394,0.7060030785017958,0.4884556182657772,0.5972293483837865,0.3247819394561313,0.40430990251410975,0.30323242688558233,0.3458183683940482,0.21139045664443304,0.23858388917393533,0.11133914828116984,0.11954848640328374,0.09440738840430989,0.04002052334530528,0.03642893791688045,0.043099025141097994,0.0513083632632119,0.0010261672652642406,0.0020523345305284726,0.04720369420215496,0
50,6623660203,0.06129597197898423,0.08056042031523643,0.06421482778750728,0.01342673671920607,0.014594279042615286,0.03736135434909515,0.02043199065966141,0.014010507880910678,0.0099241097489784,0.012259194395796844,0.01634559252772913,0.03327495621716287,0.01692936368943374,0.014594279042615286,0.06596614127262114,0.09223584354932865,0.0846468184471687,0.07530647985989493,0.0099241097489784,0.008756567425569173,0.005253940455341494,0.0198482194979568,0.004086398131932278,0.004086398131932278,0.011675423234092236,0.008756567425569173,0.025685931115002926,0.046701692936368944,0.0,0.09048453006421482,0.09515469935785172,0.11033274956217162,0.1295971978984238,0.1838879159369527,0.13368359603035612,0.15469935785172215,0.2562755399883246,0.5072971395213076,0.7367192060712201,0.7641564506713369,0.7676590776415645,0.7974314068884997,0.5720957384705195,0.6538237011091651,0.6742556917688265,0.7302977232924692,0.804436660828955,0.6730881494454173,0.3730297723292469,0.5901926444833625,0.4296555750145942,0.5183887915936952,0.4197314652656159,0.5032107413893754,0.5399883245767658,0.4757734967892586,0.6246351430239345,0.5253940455341506,0.6275539988324577,1.0,0.7209573847051955,0.5837711617046119,0.7355516637478108,0.8838295388207823,0.6987740805604203,0.6059544658493871,0.5668417980151781,0.4489200233508464,0.655575014594279,0.7915936952714535,0.5230589608873322,0.5861062463514303,0.5183887915936952,0.8715703444249853,0.9795680093403386,0.882661996497373,0.9077641564506713,0.825452422650321,0.5154699357851722,0.5253940455341506,0.5469935785172213,0.666082895504962,0.39813193228254523,0.25685931115002913,0.30356100408639813,0.2918855808523059,0.3204903677758319,0.36252189141856395,0.18155283129013428,0.1739638061879743,0.15995329830706362,0.09982486865148861,0.09748978400467016,0.10624635143023935,0.06771745475773495,0.06363105662580268,0
51,6623660203,0.05799086757990868,0.05114155251141553,0.011415525114155254,0.025570776255707757,0.016438356164383564,0.0027397260273972516,0.001826484018264837,0.001826484018264837,0.021917808219178086,0.0,0.03196347031963471,0.0077625570776255716,0.018721461187214617,0.04885844748858447,0.04977168949771689,0.05296803652968037,0.06210045662100458,0.0059360730593607264,0.020091324200913238,0.005022831050228312,0.021917808219178086,0.03789954337899543,0.003196347031963467,0.03972602739726028,0.012328767123287667,0.012785388127853875,0.008219178082191778,0.023287671232876707,0.021461187214611877,0.12511415525114156,0.09999999999999998,0.16803652968036528,0.03515981735159818,0.019178082191780826,0.09726027397260274,0.36849315068493155,0.40136986301369865,0.5872146118721461,0.6566210045662101,0.8168949771689498,0.8995433789954338,0.8269406392694064,0.8410958904109589,0.8675799086757991,0.9406392694063928,0.8442922374429224,1.0,0.8383561643835615,0.6351598173515982,0.6534246575342466,0.6424657534246575,0.6273972602739726,0.7013698630136985,0.6552511415525115,0.3990867579908676,0.3141552511415525,0.28630136986301374,0.36621004566210047,0.36484018264840185,0.4926940639269407,0.4219178082191781,0.4264840182648402,0.44246575342465755,0.4497716894977169,0.5296803652968036,0.7159817351598173,0.8132420091324202,0.8853881278538813,0.860730593607306,0.7602739726027398,0.6497716894977169,0.689041095890411,0.7579908675799087,0.6511415525114156,0.5310502283105023,0.6063926940639269,0.5031963470319635,0.5621004566210046,0.6922374429223744,0.34018264840182655,0.43242009132420095,0.22602739726027396,0.31917808219178084,0.19315068493150683,0.20867579908675798,0.21324200913242009,0.1958904109589041,0.18995433789954336,0.19680365296803654,0.13470319634703196,0.08584474885844748,0.03287671232876712,0.0091324200913242,0.019178082191780826,0.015525114155251134,0.042009132420091314,0
52,6623660203,0.013452914798206282,0.01524663677130045,0.02062780269058296,0.04663677130044843,0.02062780269058296,0.017937219730941704,0.012556053811659194,0.012556053811659194,0.03766816143497758,0.012556053811659194,0.017040358744394617,0.012556053811659194,0.017937219730941704,0.04304932735426009,0.012556053811659194,0.012556053811659194,0.012556053811659194,0.012556053811659194,0.04035874439461884,0.012556053811659194,0.027802690582959644,0.026008968609865468,0.012556053811659194,0.03587443946188341,0.012556053811659194,0.01973094170403588,0.012556053811659194,0.0,0.032286995515695076,0.0780269058295964,0.06457399103139014,0.14708520179372195,0.06457399103139014,0.028699551569506723,0.07533632286995515,0.3031390134529148,0.2914798206278027,0.5309417040358745,0.7327354260089686,0.8860986547085201,1.0,0.9838565022421524,0.8896860986547085,0.9632286995515694,0.8600896860986547,0.8547085201793722,0.9775784753363228,0.8053811659192825,0.6681614349775784,0.7856502242152466,0.7497757847533632,0.7228699551569507,0.8170403587443946,0.8071748878923767,0.3121076233183856,0.2672645739910314,0.3022421524663677,0.3434977578475336,0.33721973094170404,0.3363228699551569,0.3327354260089686,0.3255605381165919,0.3417040358744394,0.3560538116591928,0.46457399103139013,0.6044843049327354,0.6403587443946188,0.7318385650224214,0.758744394618834,0.6008968609865472,0.5067264573991032,0.48789237668161434,0.4780269058295964,0.4609865470852018,0.38206278026905827,0.4304932735426009,0.41793721973094167,0.4475336322869955,0.4780269058295964,0.21524663677130046,0.2780269058295964,0.23497757847533632,0.29327354260089683,0.18026905829596412,0.21434977578475334,0.2053811659192825,0.20269058295964126,0.1901345291479821,0.21704035874439462,0.1210762331838565,0.1210762331838565,0.051121076233183856,0.016143497757847538,0.032286995515695076,0.026905829596412564,0.022421524663677132,0
